Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,+/-,MATCHUP
Al Horford C,33.416666666666664,5.0,12.0,41.7,3.0,7.0,42.9,1.0,1.0,100.0,5.0,5.0,10.0,9.0,3.0,1.0,1.0,3.0,14.0,-10.0,"OCT 19, 2018 - BOS @ TOR"
Jaylen Brown G,24.166666666666668,5.0,10.0,50.0,3.0,6.0,50.0,0.0,2.0,0.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,4.0,13.0,0.0,"OCT 19, 2018 - BOS @ TOR"
Kyrie Irving G,35.93333333333333,10.0,20.0,50.0,1.0,3.0,33.3,0.0,0.0,0.0,2.0,2.0,4.0,6.0,1.0,0.0,1.0,3.0,21.0,-16.0,"OCT 19, 2018 - BOS @ TOR"
Marcus Morris Sr.,25.75,3.0,7.0,42.9,2.0,4.0,50.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,4.0,8.0,-1.0,"OCT 19, 2018 - BOS @ TOR"
Terry Rozier,23.216666666666665,2.0,7.0,28.6,2.0,3.0,66.7,2.0,2.0,100.0,2.0,3.0,5.0,3.0,0.0,1.0,0.0,4.0,8.0,-4.0,"OCT 19, 2018 - BOS @ TOR"
Marcus Smart,21.866666666666667,1.0,6.0,16.7,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,1.0,3.0,2.0,-2.0,"OCT 19, 2018 - BOS @ TOR"
Aron Baynes,14.583333333333334,2.0,8.0,25.0,0.0,2.0,0.0,1.0,2.0,50.0,4.0,2.0,6.0,0.0,1.0,0.0,1.0,1.0,5.0,-2.0,"OCT 19, 2018 - BOS @ TOR"
Jayson Tatum F,28.933333333333334,9.0,17.0,52.9,1.0,5.0,20.0,4.0,5.0,80.0,2.0,7.0,9.0,3.0,1.0,1.0,0.0,2.0,23.0,6.0,"OCT 16, 2018 - BOS vs. PHI"
Gordon Hayward F,24.616666666666667,4.0,12.0,33.3,1.0,3.0,33.3,1.0,2.0,50.0,2.0,3.0,5.0,0.0,0.0,4.0,0.0,1.0,10.0,10.0,"OCT 16, 2018 - BOS vs. PHI"
Al Horford C,29.95,4.0,7.0,57.1,0.0,1.0,0.0,1.0,1.0,100.0,0.0,4.0,4.0,2.0,3.0,0.0,4.0,1.0,9.0,9.0,"OCT 16, 2018 - BOS vs. PHI"
Jaylen Brown G,28.383333333333333,5.0,13.0,38.5,1.0,3.0,33.3,1.0,2.0,50.0,3.0,2.0,5.0,2.0,2.0,0.0,0.0,4.0,12.0,11.0,"OCT 16, 2018 - BOS vs. PHI"
Kyrie Irving G,29.0,2.0,14.0,14.3,1.0,8.0,12.5,2.0,2.0,100.0,0.0,4.0,4.0,7.0,3.0,0.0,0.0,1.0,7.0,9.0,"OCT 16, 2018 - BOS vs. PHI"
Marcus Morris Sr.,20.5,7.0,12.0,58.3,2.0,7.0,28.6,0.0,0.0,0.0,2.0,8.0,10.0,0.0,1.0,2.0,0.0,5.0,16.0,3.0,"OCT 16, 2018 - BOS vs. PHI"
Terry Rozier,26.516666666666666,5.0,10.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,8.0,8.0,1.0,1.0,0.0,1.0,0.0,11.0,22.0,"OCT 16, 2018 - BOS vs. PHI"
Marcus Smart,25.0,2.0,4.0,50.0,2.0,4.0,50.0,1.0,2.0,50.0,0.0,3.0,3.0,3.0,2.0,0.0,0.0,2.0,7.0,3.0,"OCT 16, 2018 - BOS vs. PHI"
Aron Baynes,19.233333333333334,3.0,7.0,42.9,2.0,4.0,50.0,0.0,0.0,0.0,3.0,1.0,4.0,3.0,1.0,0.0,0.0,3.0,8.0,8.0,"OCT 16, 2018 - BOS vs. PHI"
Daniel Theis,4.133333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,"OCT 16, 2018 - BOS vs. PHI"
Semi Ojeleye,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,"OCT 16, 2018 - BOS vs. PHI"
Guerschon Yabusele,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,"OCT 16, 2018 - BOS vs. PHI"
Brad Wanamaker,0.8333333333333334,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,"OCT 16, 2018 - BOS vs. PHI"
